index,DOI,SMILES
73,10.1039/c4nr05565a,N#CC(=Cc1ccc(s1)C#CC1=C2CCC3N2[Zn@@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3c2cc(cc(c2)C(C)(C)C)C(C)(C)C)cc1)C#Cc1ccc(s1)C=C(C#N)C#N)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)C#N
74,10.1039/c5nr01037c,CCCCCCCCN1C(=S)[S]=C(C1=O)[CH]c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)c1sc2c(c1)c(c1ccc(s1)C[C@H](CCCC)CC)c1c(c2c2ccc(s2)C[C@H](CCCC)CC)cc(s1)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)C[C@@H](CCCC)CC)CCCCCCCC)CCCCCCCC
75,10.1039/c5nr01037c,CCCCCCCCN1C(=O)S/C(=C\c2cc(c(s2)c2ccc(s2)c2sc(cc2CCCCCCCC)c2sc3c(c2)c(c2ccc(s2)C[C@H](CCCC)CC)c2c(c3c3ccc(s3)C[C@H](CCCC)CC)cc(s2)c2cc(c(s2)c2ccc(s2)c2sc(cc2CCCCCCCC)[CH]C2=[S]C(=O)N(C2=O)C[C@@H](CCCC)CC)CCCCCCCC)CCCCCCCC)/C1=O
76,10.1039/c4ta05807k,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc(s2)[CH]C1=[S]C(=S)N(C1=O)CC)c1sc2c(c1)c(OC[C@H](CCCC)CC)c1c(c2OC[C@H](CCCC)CC)cc(s1)c1sc2c(c1)C(c1c2sc(c1)/C=C/1\SC(=S)N(C1=O)CC)(CCCCCC)CCCCCC
77,10.1021/acs.jpcc.5b07130,CCCC[C@@H](COc1c2sc(cc2c(c2c1cc(s2)c1cc2c(s1)c1c(C2(CCCCCC)CCCCCC)cc(s1)C=C(C#N)C#N)OC[C@H](CCCC)CC)c1cc2c(s1)c1c(C2(CCCCCC)CCCCCC)cc(s1)C=C(C#N)C#N)CC
80,10.1016/j.synthmet.2015.05.005,CCCCCC[C@@H](Cn1c(c2ccc(s2)c2ccc(s2)/C=C/c2ccc(s2)c2ccc(s2)c2n(C[C@H](CCCCCC)CCCC)c(=O)c3c2c(=O)n(c3c2cccs2)C[C@H](CCCCCC)CCCC)c2c(c1=O)c(n(c2=O)C[C@H](CCCCCC)CCCC)c1cccs1)CCCC
81,10.1016/j.synthmet.2015.05.005,CCCCCC[C@@H](Cn1c(c2ccc(s2)c2sc3c(c2)ccc2c3ccc3c2sc(c3)c2ccc(s2)c2n(C[C@H](CCCCCC)CCCC)c(=O)c3c2c(=O)n(c3c2cccs2)C[C@H](CCCCCC)CCCC)c2c(c1=O)c(n(c2=O)C[C@H](CCCCCC)CCCC)c1cccs1)CCCC
82,10.1021/acsami.5b06691,CCCCCCCCOc1ccc(cc1)C1=C2CCC3N2[Zn@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3C#Cc2ccc(s2)c2n(C[C@@H](CCCC)CC)c(=O)c3c2c(=O)n(c3c2ccc(s2)C)C[C@@H](CCCC)CC)cc1)c1ccc(cc1)OCCCCCCCC)C#Cc1ccc(s1)c1n(C[C@@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)C)C[C@@H](CCCC)CC
83,10.1016/j.orgel.2015.05.024,CCCC[C@H](Cn1c2cc(ccc2c2c1cc(cc2)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)C=C1C(=O)N(CC)C(=S)N(C1=O)CC)CCCCCCCC)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)C=C1C(=O)N(CC)C(=S)N(C1=O)CC)CCCCCCCC)CC
84,10.1039/c5py01051a,CCCCCCc1ccc(s1)c1ccc(s1)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)C1=[S]c2c(C1)c(c1ccc(s1)C[C@@H](CCCC)CC)c1c(c2c2ccc(s2)C[C@H](CCCC)CC)cc(s1)c1ccc(s1)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC
